_id,title,year
"ObjectId(""5d5ed05284296f90ef7989fe"")",Glass,2019
"ObjectId(""5d5ed05284296f90ef7989ff"")",The Kid Who Would Be King,2019
"ObjectId(""5d5ed05284296f90ef798a00"")",Miss Bala,2019
"ObjectId(""5d5ed05284296f90ef798a01"")",The Lego Movie 2: The Second Part,2019
"ObjectId(""5d5ed05284296f90ef798a02"")",What Men Want,2019
"ObjectId(""5d5ed05284296f90ef798a03"")",Alita: Battle Angel,2019
"ObjectId(""5d5ed05284296f90ef798a04"")",Fighting with My Family,2019
"ObjectId(""5d5ed05284296f90ef798a05"")",Isn't It Romantic,2019
"ObjectId(""5d5ed05284296f90ef798a06"")",Happy Death Day 2U,2019
"ObjectId(""5d5ed05284296f90ef798a07"")",How to Train Your Dragon: The Hidden World,2019
"ObjectId(""5d5ed05284296f90ef798a08"")",A Madea Family Funeral,2019
"ObjectId(""5d5ed05284296f90ef798a09"")",Shazam!,2019
"ObjectId(""5d5ed05284296f90ef798a0a"")",The Kid,2019
"ObjectId(""5d5ed05284296f90ef798a0b"")",Wonder Park,2019
"ObjectId(""5d5ed05284296f90ef798a0c"")",The Hummingbird Project,2018
"ObjectId(""5d5ed05284296f90ef798a0d"")",The Aftermath,2019
"ObjectId(""5d5ed05284296f90ef798a0e"")",Us,2019
"ObjectId(""5d5ed05284296f90ef798a0f"")",Hotel Mumbai,2018
"ObjectId(""5d5ed05284296f90ef798a10"")",Dumbo,2019
"ObjectId(""5d5ed05284296f90ef798a11"")",The Beach Bum,2019
"ObjectId(""5d5ed05284296f90ef798a12"")",Shazam!,2019
"ObjectId(""5d5ed05284296f90ef798a13"")",Pet Sematary,2019
"ObjectId(""5d5ed05284296f90ef798a14"")",The Best of Enemies,2019
"ObjectId(""5d5ed05284296f90ef798a15"")",Hellboy,2019
"ObjectId(""5d5ed05284296f90ef798a16"")",Little,2019
"ObjectId(""5d5ed05284296f90ef798a17"")",Missing Link,2019
"ObjectId(""5d5ed05284296f90ef798a18"")",The Curse of La Llorona,2019
"ObjectId(""5d5ed05284296f90ef798a19"")",Avengers: Endgame,2019
"ObjectId(""5d5ed05284296f90ef798a1a"")",UglyDolls,2019
"ObjectId(""5d5ed05284296f90ef798a1b"")",Long Shot,2019
"ObjectId(""5d5ed05284296f90ef798a1c"")",Pokémon Detective Pikachu,2019
"ObjectId(""5d5ed05284296f90ef798a1d"")",The Hustle,2019
"ObjectId(""5d5ed05284296f90ef798a1e"")",Tolkien,2019
"ObjectId(""5d5ed05284296f90ef798a1f"")",John Wick: Chapter 3 - Parabellum,2019
"ObjectId(""5d5ed05284296f90ef798a20"")",A Dog's Journey,2019
"ObjectId(""5d5ed05284296f90ef798a21"")",Aladdin,2019
"ObjectId(""5d5ed05284296f90ef798a22"")",Brightburn,2019
"ObjectId(""5d5ed05284296f90ef798a23"")",Booksmart,2019
"ObjectId(""5d5ed05284296f90ef798a24"")",Godzilla: King of the Monsters,2019
"ObjectId(""5d5ed05284296f90ef798a25"")",Rocketman,2019
"ObjectId(""5d5ed05284296f90ef798a26"")",Dark Phoenix,2019
"ObjectId(""5d5ed05284296f90ef798a27"")",The Secret Life of Pets 2,2019
"ObjectId(""5d5ed05284296f90ef798a28"")",Men in Black: International,2019
"ObjectId(""5d5ed05284296f90ef798a29"")",Shaft,2019
"ObjectId(""5d5ed05284296f90ef798a2a"")",Toy Story 4,2019
"ObjectId(""5d5ed05284296f90ef798a2b"")",Child's Play,2019
"ObjectId(""5d5ed05284296f90ef798a2c"")",Annabelle Comes Home,2019
"ObjectId(""5d5ed05284296f90ef798a2d"")",Yesterday,2019
"ObjectId(""5d5ed05284296f90ef798a2e"")",Spider-Man: Far from Home,2019
"ObjectId(""5d5ed05284296f90ef798a2f"")",Stuber,2019
"ObjectId(""5d5ed05284296f90ef798a30"")",Crawl,2019
"ObjectId(""5d5ed05284296f90ef798a31"")",The Farewell,2019
"ObjectId(""5d5ed05284296f90ef798a32"")",The Art of Self-Defense,2019
"ObjectId(""5d5ed05284296f90ef798a33"")",The Lion King,2019
"ObjectId(""5d5ed05284296f90ef798a34"")",Fast & Furious Presents: Hobbs & Shaw,2019
"ObjectId(""5d5ed05284296f90ef798a35"")",Scary Stories to Tell in the Dark,2019
"ObjectId(""5d5ed05284296f90ef798a36"")",Dora and the Lost City of Gold,2019
"ObjectId(""5d5ed05284296f90ef798a37"")",The Kitchen,2019
"ObjectId(""5d5ed05284296f90ef798a38"")",The Art of Racing in the Rain,2019
"ObjectId(""5d5ed05284296f90ef798a39"")",The Angry Birds Movie 2,2019
"ObjectId(""5d5ed05284296f90ef798a3a"")",Good Boys,2019
"ObjectId(""5d5ed05284296f90ef798a3b"")","Where'd You Go, Bernadette",2019
"ObjectId(""5d5ed05284296f90ef798a3c"")",Ready or Not,2019
"ObjectId(""5d5ed05284296f90ef798a3d"")",It Chapter Two,2019
"ObjectId(""5d5ed05284296f90ef798a3e"")",The Goldfinch,2019
"ObjectId(""5d5ed05284296f90ef798a3f"")",Hustlers,2019
"ObjectId(""5d5ed05284296f90ef798a40"")",Ad Astra,2019
"ObjectId(""5d5ed05284296f90ef798a41"")",Rambo: Last Blood,2019
"ObjectId(""5d5ed05284296f90ef798a42"")",Downton Abbey,2010
"ObjectId(""5d5ed05284296f90ef798a43"")",Abominable,2019
"ObjectId(""5d5ed05284296f90ef798a44"")",Doom: Annihilation,2019
"ObjectId(""5d5ed05284296f90ef798a45"")",Joker,2019
"ObjectId(""5d5ed05284296f90ef798a46"")",Lucy in the Sky,2019
"ObjectId(""5d5ed05284296f90ef798a47"")",Gemini Man,2019
"ObjectId(""5d5ed05284296f90ef798a48"")",Zombieland: Double Tap,2019
"ObjectId(""5d5ed05284296f90ef798a49"")",The Addams Family,2019
"ObjectId(""5d5ed05284296f90ef798a4a"")",Maleficent: Mistress of Evil,2019
"ObjectId(""5d5ed05284296f90ef798a4b"")",Jojo Rabbit,2019
"ObjectId(""5d5ed05284296f90ef798a4c"")",Eli,2019
"ObjectId(""5d5ed05284296f90ef798a4d"")",Terminator: Dark Fate,2019
"ObjectId(""5d5ed05284296f90ef798a4e"")",Harriet,2019
"ObjectId(""5d5ed05284296f90ef798a4f"")",Motherless Brooklyn,2019
"ObjectId(""5d5ed05284296f90ef798a50"")",Doctor Sleep,2019
"ObjectId(""5d5ed05284296f90ef798a51"")",Ford v Ferrari,2019
"ObjectId(""5d5ed05284296f90ef798a52"")",Charlie's Angels,2019
"ObjectId(""5d5ed05284296f90ef798a53"")",The Good Liar,2019
"ObjectId(""5d5ed05284296f90ef798a54"")",Last Christmas,2019
"ObjectId(""5d5ed05284296f90ef798a55"")",Frozen II,2019
"ObjectId(""5d5ed05284296f90ef798a56"")",A Beautiful Day in the Neighborhood,2019
"ObjectId(""5d5ed05284296f90ef798a57"")",The Rhythm Section,2019
"ObjectId(""5d5ed05284296f90ef798a58"")",Knives Out,2019
"ObjectId(""5d5ed05284296f90ef798a59"")",Queen & Slim,2019
"ObjectId(""5d5ed05284296f90ef798a5a"")",Jumanji: The Next Level,2019
"ObjectId(""5d5ed05284296f90ef798a5b"")",Playmobil: The Movie,2019
"ObjectId(""5d5ed05284296f90ef798a5c"")",Black Christmas,2019
"ObjectId(""5d5ed05284296f90ef798a5d"")",Star Wars: The Rise of Skywalker,2019
"ObjectId(""5d5ed05284296f90ef798a5e"")",Cats,2019
"ObjectId(""5d5ed05284296f90ef798a5f"")",1917,2019
"ObjectId(""5d5ed05284296f90ef798a60"")",Little Women,2019
"ObjectId(""5d5ed05284296f90ef798a61"")",Spies in Disguise,2019
"ObjectId(""5d5ed05284296f90ef798a62"")",Superintelligence,2019
"ObjectId(""5d5ed05284296f90ef798a63"")",Wendy and Lucy,2008